,Data,Competencia,Plano,CustoMensal
7,2020-05-26,202005,Básico,12460
12,2020-06-19,202006,Básico,12649
13,2020-06-22,202006,Básico,12672
16,2020-06-24,202006,Básico,13305
18,2020-07-02,202007,Básico,14994
20,2020-07-19,202007,Básico,12382
24,2020-08-17,202008,Básico,13366
28,2020-08-28,202008,Básico,13301
31,2020-09-06,202009,Básico,12474
35,2020-10-16,202010,Básico,12770
36,2020-10-21,202010,Básico,14865
37,2020-10-23,202010,Básico,13249
41,2020-11-07,202011,Básico,13175
45,2020-11-25,202011,Básico,12157
46,2020-12-04,202012,Básico,12661
47,2020-12-07,202012,Básico,12740
53,2020-12-22,202012,Básico,28156
54,2021-01-02,202101,Básico,14868
55,2021-01-03,202101,Básico,14484
57,2021-01-10,202101,Básico,14541
58,2021-01-14,202101,Básico,13384
72,2021-04-06,202104,Básico,12262
74,2021-04-11,202104,Básico,14008
76,2021-05-12,202105,Básico,12873
77,2021-06-05,202106,Básico,13959
80,2021-06-19,202106,Básico,12505
90,2021-08-17,202108,Básico,12788
91,2021-08-24,202108,Básico,13255
92,2021-08-27,202108,Básico,14660
95,2021-09-05,202109,Básico,14141
98,2021-09-26,202109,Básico,13245
110,2021-11-16,202111,Básico,14995
112,2021-11-28,202111,Básico,12210
113,2021-12-08,202112,Básico,14749
116,2021-12-20,202112,Básico,14900
117,2021-12-27,202112,Básico,13883
119,2022-01-04,202201,Básico,14080
121,2022-01-14,202201,Básico,13563
122,2022-01-16,202201,Básico,13417
123,2022-01-17,202201,Básico,14872
124,2022-01-29,202201,Básico,14088
131,2022-02-28,202202,Básico,14421
133,2022-03-07,202203,Básico,12152
134,2022-03-18,202203,Básico,12393
135,2022-03-26,202203,Básico,14860
142,2022-04-17,202204,Básico,13878
153,2022-06-20,202206,Básico,12482
157,2022-07-10,202207,Básico,13227
158,2022-07-15,202207,Básico,14462
159,2022-07-29,202207,Básico,13047
160,2022-08-07,202208,Básico,12816
161,2022-08-12,202208,Básico,13491
165,2022-08-31,202208,Básico,12140
169,2022-09-18,202209,Básico,13889
170,2022-09-21,202209,Básico,12447
178,2022-10-18,202210,Básico,14723
186,2022-11-18,202211,Básico,13820
187,2022-11-21,202211,Básico,13619
188,2022-11-25,202211,Básico,14839
189,2022-11-26,202211,Básico,12847
190,2022-12-01,202212,Básico,14361
193,2022-12-05,202212,Básico,13809
194,2022-12-19,202212,Básico,14813
197,2023-01-11,202301,Básico,13336
199,2023-01-22,202301,Básico,14816
200,2023-02-01,202302,Básico,13361
203,2023-02-10,202302,Básico,12432
204,2023-02-11,202302,Básico,13080
208,2023-02-18,202302,Básico,25691
211,2023-03-05,202303,Básico,12608
215,2023-03-25,202303,Básico,14041
217,2023-04-03,202304,Básico,14749
218,2023-04-06,202304,Básico,14642
219,2023-04-10,202304,Básico,12791
220,2023-04-13,202304,Básico,13970
225,2023-04-17,202304,Básico,13149
228,2023-05-05,202305,Básico,12115
232,2023-05-14,202305,Básico,12618
233,2023-05-18,202305,Básico,12224
235,2023-05-23,202305,Básico,12757
239,2023-07-22,202307,Básico,13299
242,2023-08-08,202308,Básico,13679
243,2023-08-15,202308,Básico,12825
246,2023-08-26,202308,Básico,12745
250,2023-09-25,202309,Básico,14676
251,2023-09-27,202309,Básico,13185
256,2023-10-06,202310,Básico,14755
260,2023-10-26,202310,Básico,13265
272,2023-12-13,202312,Básico,12469
273,2023-12-16,202312,Básico,12065
274,2023-12-22,202312,Básico,13072
276,2024-01-12,202401,Básico,12391
281,2024-02-22,202402,Básico,12416
282,2024-02-23,202402,Básico,14236
283,2024-03-02,202403,Básico,14525
284,2024-03-03,202403,Básico,13115
285,2024-03-05,202403,Básico,13409
289,2024-04-02,202404,Básico,14885
