Data,Custo Mensal (R$),Plano
2021-12-23,1944,Premium
2023-11-12,1644,Premium
2022-05-08,1649,Premium
2021-05-29,2616,Premium
2022-06-22,2099,Premium
2020-09-28,2390,Premium
2022-08-04,1801,Premium
2022-05-01,1999,Premium
2020-11-13,1748,Premium
2020-10-30,2068,Premium
2022-11-02,1979,Premium
2023-09-04,1936,Premium
2021-08-22,1826,Premium
2024-01-15,2064,Premium
2023-09-29,1722,Premium
2023-05-26,1665,Premium
2023-07-23,1364,Premium
2020-09-15,1835,Premium
2021-03-13,1936,Premium
2021-02-23,1827,Premium
2022-10-09,2149,Premium
2020-04-26,1790,Premium
2021-04-24,1819,Premium
2022-09-14,2170,Premium
2021-03-02,2633,Premium
2021-08-23,2036,Premium
2022-01-02,1796,Premium
2023-08-20,2657,Premium
2020-10-23,1709,Premium
2023-07-07,1979,Premium
2023-08-11,1914,Premium
2020-04-20,2083,Premium
2023-09-15,1891,Premium
2021-06-19,2039,Premium
2023-08-29,1775,Premium
2024-02-08,1805,Premium
2023-05-11,1878,Premium
2021-09-25,1542,Premium
2022-03-23,2330,Premium
2023-01-27,2035,Premium
2021-06-11,1819,Premium
2022-06-21,2204,Premium
2022-03-22,1934,Premium
2022-02-02,2239,Premium
2023-04-18,2205,Premium
2022-03-23,2237,Premium
2020-09-26,1809,Premium
2022-05-01,2335,Premium
2023-09-15,1700,Premium
2020-08-11,2018,Premium
2020-05-22,2560,Premium
2023-03-28,2252,Premium
2021-03-06,1802,Premium
2021-03-12,2193,Premium
2022-07-20,1617,Premium
2021-10-12,2571,Premium
2022-11-24,2069,Premium
2023-10-02,1907,Premium
2022-01-17,2340,Premium
2022-11-20,2571,Premium
2021-05-16,2393,Premium
2020-05-20,1968,Premium
2022-02-02,2065,Premium
2021-08-19,2447,Premium
2023-05-29,2432,Premium
2020-12-02,2021,Premium
2021-01-14,2592,Premium
2023-03-09,1709,Premium
2023-04-22,1909,Premium
2023-07-14,2072,Premium
2020-06-03,1935,Premium
2020-08-30,2554,Premium
2023-02-13,1863,Premium
2023-03-06,1909,Premium
2020-06-20,2296,Premium
2020-06-22,1634,Premium
2020-11-18,2186,Premium
2022-10-07,2129,Premium
2023-08-18,2140,Premium
2023-05-11,1782,Premium
2023-10-05,1811,Premium
2020-11-09,1502,Premium
2021-04-18,1651,Premium
2020-04-20,1919,Premium
2021-12-09,1595,Premium
2021-03-07,2122,Premium
2021-01-24,2107,Premium
2022-08-13,1862,Premium
2021-08-31,2129,Premium
2024-01-29,2063,Premium
2024-03-09,1718,Premium
2022-06-21,2147,Premium
2023-04-01,2373,Premium
2020-07-30,1456,Premium
2022-09-04,2226,Premium
2024-01-02,2338,Premium
2022-04-01,1654,Premium
2022-10-12,2030,Premium
2023-04-01,2135,Premium
2022-02-03,1761,Premium
2020-12-17,1152,Básico
2020-07-03,739,Básico
2023-11-28,656,Básico
2021-04-17,952,Básico
2023-01-09,611,Básico
2023-01-31,1026,Básico
2021-10-31,1137,Básico
2023-03-20,1189,Básico
2021-02-08,989,Básico
2022-12-13,1123,Básico
2023-04-20,1291,Básico
2021-12-30,946,Básico
2021-02-18,1276,Básico
2023-05-10,1091,Básico
2023-03-12,788,Básico
2020-10-16,1101,Básico
2020-05-05,901,Básico
2023-09-26,1274,Básico
2022-07-10,1112,Básico
2021-04-03,1029,Básico
2023-07-23,959,Básico
2022-06-16,844,Básico
2023-04-01,844,Básico
2020-04-19,781,Básico
2023-04-21,1327,Básico
2022-05-11,1041,Básico
2022-07-19,1030,Básico
2023-07-02,851,Básico
2023-12-16,1027,Básico
2023-05-20,1217,Básico
2024-02-11,1022,Básico
2021-06-11,890,Básico
2022-07-17,845,Básico
2021-06-04,1121,Básico
2022-09-04,984,Básico
2023-05-05,824,Básico
2021-10-08,985,Básico
2020-06-02,716,Básico
2020-10-01,768,Básico
2020-09-09,1007,Básico
2021-11-09,1000,Básico
2024-02-17,913,Básico
2023-05-05,1022,Básico
2022-04-04,1099,Básico
2021-01-13,1210,Básico
2024-03-21,1042,Básico
2024-01-11,818,Básico
2020-09-26,1213,Básico
2023-02-10,907,Básico
2022-01-12,1065,Básico
2021-04-16,1141,Básico
2022-02-06,1243,Básico
2020-11-06,821,Básico
2020-08-14,1074,Básico
2023-10-22,1165,Básico
2023-04-25,1027,Básico
2021-02-14,1115,Básico
2021-11-08,738,Básico
2022-07-10,1092,Básico
2023-06-27,903,Básico
2021-03-05,921,Básico
2022-04-13,1278,Básico
2021-12-02,933,Básico
2023-08-19,975,Básico
2022-04-23,869,Básico
2021-02-26,1152,Básico
2020-04-27,990,Básico
2023-08-10,1017,Básico
2022-06-25,969,Básico
2021-04-25,1189,Básico
2021-08-05,991,Básico
2021-03-30,1159,Básico
2020-12-10,768,Básico
2021-05-27,890,Básico
2023-01-10,779,Básico
2020-12-11,938,Básico
2022-11-16,1195,Básico
2021-01-07,1001,Básico
2020-05-08,1008,Básico
2022-02-18,1251,Básico
2021-08-09,955,Básico
2022-08-03,867,Básico
2023-07-09,1203,Básico
2021-06-15,1108,Básico
2021-11-22,1287,Básico
2021-09-15,918,Básico
2021-05-24,1006,Básico
2022-01-16,922,Básico
2020-10-05,701,Básico
2021-10-05,795,Básico
2021-01-03,1014,Básico
2023-03-08,1042,Básico
2023-07-29,1168,Básico
2020-12-15,1028,Básico
2023-01-13,797,Básico
2022-05-07,1094,Básico
2022-01-02,716,Básico
2023-04-07,1013,Básico
2020-10-20,1147,Básico
2020-09-25,740,Básico
2024-01-04,1689,Intermediário
2020-06-10,1600,Intermediário
2021-09-19,1948,Intermediário
2023-11-24,1433,Intermediário
2023-12-31,1569,Intermediário
2022-12-12,1713,Intermediário
2021-10-28,1640,Intermediário
2023-09-26,1261,Intermediário
2021-08-04,1258,Intermediário
2020-06-01,1565,Intermediário
2023-03-21,1437,Intermediário
2021-09-12,1774,Intermediário
2021-03-09,1213,Intermediário
2023-06-03,1572,Intermediário
2022-01-04,1430,Intermediário
2023-12-23,1498,Intermediário
2020-07-23,1850,Intermediário
2020-10-21,1344,Intermediário
2023-12-21,1771,Intermediário
2021-01-16,1536,Intermediário
2023-11-15,2022,Intermediário
2021-07-02,1514,Intermediário
2023-04-23,917,Intermediário
2020-06-26,1558,Intermediário
2024-04-10,1368,Intermediário
2020-11-27,1344,Intermediário
2024-02-04,1629,Intermediário
2020-06-23,1395,Intermediário
2022-11-27,1534,Intermediário
2023-02-25,1360,Intermediário
2022-09-16,1719,Intermediário
2021-04-26,1077,Intermediário
2020-12-16,1811,Intermediário
2020-11-19,1196,Intermediário
2024-02-13,1879,Intermediário
2021-09-28,1738,Intermediário
2022-10-12,1537,Intermediário
2022-04-22,1398,Intermediário
2024-02-14,1552,Intermediário
2023-12-05,1648,Intermediário
2020-12-06,1831,Intermediário
2023-12-15,1669,Intermediário
2021-02-14,1404,Intermediário
2024-03-15,1924,Intermediário
2021-08-25,1638,Intermediário
2020-06-18,1411,Intermediário
2023-08-24,948,Intermediário
2021-10-08,1506,Intermediário
2022-01-12,1594,Intermediário
2020-12-16,1148,Intermediário
2021-07-09,1700,Intermediário
2021-02-03,1994,Intermediário
2022-08-24,1633,Intermediário
2022-02-22,1198,Intermediário
2020-09-07,1563,Intermediário
2021-12-30,1766,Intermediário
2020-09-30,1090,Intermediário
2021-01-21,1563,Intermediário
2022-02-17,1525,Intermediário
2023-11-04,1363,Intermediário
2021-12-10,2039,Intermediário
2021-08-30,1505,Intermediário
2023-08-11,1240,Intermediário
2024-04-12,1870,Intermediário
2023-12-03,1661,Intermediário
2022-10-03,1651,Intermediário
